月份,縣市代碼,縣市名稱,鄉鎮代碼,鄉鎮名稱,村里名稱,用電量_2013
8,63000,臺北市,6300100,松山區,復建里,1895
8,63000,臺北市,6300100,松山區,吉仁里,3925
8,63000,臺北市,6300100,松山區,復源里,2440
8,63000,臺北市,6300100,松山區,松基里,2481985
8,63000,臺北市,6300100,松山區,敦化里,--
8,63000,臺北市,6300100,松山區,東榮里,9240
8,63000,臺北市,6300100,松山區,三民里,1326319
8,63000,臺北市,6300100,松山區,富錦里,--
8,63000,臺北市,6300100,松山區,精忠里,--
8,63000,臺北市,6300100,松山區,東昌里,--
8,63000,臺北市,6300100,松山區,民有里,8349
8,63000,臺北市,6300100,松山區,民福里,111160
8,63000,臺北市,6300100,松山區,福成里,1199606
8,63000,臺北市,6300100,松山區,新益里,1358016
8,63000,臺北市,6300100,松山區,莊敬里,1112195
8,63000,臺北市,6300100,松山區,美仁里,1482633
8,63000,臺北市,6300100,松山區,中崙里,1698625
8,63000,臺北市,6300100,松山區,東勢里,2092437
8,63000,臺北市,6300100,松山區,鵬程里,2303421
8,63000,臺北市,6300100,松山區,復勢里,2997644
8,63000,臺北市,6300100,松山區,復盛里,2870928
8,63000,臺北市,6300100,松山區,中華里,1730038
8,63000,臺北市,6300100,松山區,自強里,3723146
8,63000,臺北市,6300100,松山區,龍田里,2825239
8,63000,臺北市,6300100,松山區,吉祥里,4315008
8,63000,臺北市,6300100,松山區,東光里,3477216
8,63000,臺北市,6300100,松山區,新聚里,4037468
8,63000,臺北市,6300100,松山區,安平里,3989296
8,63000,臺北市,6300100,松山區,新東里,1675812
8,63000,臺北市,6300100,松山區,介壽里,1647241
8,63000,臺北市,6300100,松山區,富泰里,1891612
8,63000,臺北市,6300100,松山區,中正里,1964245
8,63000,臺北市,6300100,松山區,慈祐里,3567399
8,63000,臺北市,6300200,信義區,新仁里,6709
8,63000,臺北市,6300200,信義區,松友里,1282
8,63000,臺北市,6300200,信義區,黎忠里,--
8,63000,臺北市,6300200,信義區,景勤里,5133
8,63000,臺北市,6300200,信義區,敦厚里,365
8,63000,臺北市,6300200,信義區,五全里,40
8,63000,臺北市,6300200,信義區,黎平里,71
8,63000,臺北市,6300200,信義區,嘉興里,32160
8,63000,臺北市,6300200,信義區,長春里,--
8,63000,臺北市,6300200,信義區,四維里,--
8,63000,臺北市,6300200,信義區,永春里,--
8,63000,臺北市,6300200,信義區,廣居里,11376
8,63000,臺北市,6300200,信義區,興雅里,2911
8,63000,臺北市,6300200,信義區,松光里,--
8,63000,臺北市,6300200,信義區,中坡里,4051
8,63000,臺北市,6300200,信義區,國業里,--
8,63000,臺北市,6300200,信義區,松隆里,--
8,63000,臺北市,6300200,信義區,大道里,--
8,63000,臺北市,6300200,信義區,大仁里,--
8,63000,臺北市,6300200,信義區,富台里,772
8,63000,臺北市,6300200,信義區,六藝里,650
8,63000,臺北市,6300200,信義區,黎安里,4069
8,63000,臺北市,6300200,信義區,中行里,8120
8,63000,臺北市,6300200,信義區,黎順里,15880
8,63000,臺北市,6300200,信義區,安康里,24432
8,63000,臺北市,6300200,信義區,興隆里,453070
8,63000,臺北市,6300200,信義區,五常里,1581316
8,63000,臺北市,6300200,信義區,景聯里,435939
8,63000,臺北市,6300200,信義區,雙和里,872328
8,63000,臺北市,6300200,信義區,四育里,2342452
8,63000,臺北市,6300200,信義區,西村里,1566485
8,63000,臺北市,6300200,信義區,正和里,2056592
8,63000,臺北市,6300200,信義區,惠安里,2611986
8,63000,臺北市,6300200,信義區,景新里,3277254
8,63000,臺北市,6300200,信義區,中興里,1365947
8,63000,臺北市,6300200,信義區,三犁里,2963169
8,63000,臺北市,6300200,信義區,雅祥里,2053050
8,63000,臺北市,6300200,信義區,泰和里,2900170
8,63000,臺北市,6300200,信義區,三張里,4430662
8,63000,臺北市,6300200,信義區,六合里,3071828
8,63000,臺北市,6300200,信義區,永吉里,2009416
8,63000,臺北市,6300300,大安區,錦泰里,21861
8,63000,臺北市,6300300,大安區,通安里,3557
8,63000,臺北市,6300300,大安區,龍圖里,853
8,63000,臺北市,6300300,大安區,敦煌里,--
8,63000,臺北市,6300300,大安區,光武里,7234
8,63000,臺北市,6300300,大安區,錦華里,1027
8,63000,臺北市,6300300,大安區,法治里,--
8,63000,臺北市,6300300,大安區,昌隆里,--
8,63000,臺北市,6300300,大安區,龍生里,3860
8,63000,臺北市,6300300,大安區,建倫里,3552
8,63000,臺北市,6300300,大安區,敦安里,--
8,63000,臺北市,6300300,大安區,臨江里,--
8,63000,臺北市,6300300,大安區,龍淵里,--
8,63000,臺北市,6300300,大安區,龍門里,--
8,63000,臺北市,6300300,大安區,義安里,24820
8,63000,臺北市,6300300,大安區,新龍里,--
8,63000,臺北市,6300300,大安區,龍陣里,--
8,63000,臺北市,6300300,大安區,龍泉里,--
8,63000,臺北市,6300300,大安區,福住里,806
8,63000,臺北市,6300300,大安區,通化里,4092
8,63000,臺北市,6300300,大安區,全安里,7561
8,63000,臺北市,6300300,大安區,臥龍里,6692
8,63000,臺北市,6300300,大安區,義村里,5609
8,63000,臺北市,6300300,大安區,古莊里,57292
8,63000,臺北市,6300300,大安區,民輝里,125208
8,63000,臺北市,6300300,大安區,建安里,33010
8,63000,臺北市,6300300,大安區,車層里,80380
8,63000,臺北市,6300300,大安區,誠安里,990854
8,63000,臺北市,6300300,大安區,華聲里,2403913
8,63000,臺北市,6300300,大安區,龍坡里,1300836
8,63000,臺北市,6300300,大安區,學府里,441952
8,63000,臺北市,6300300,大安區,古風里,630593
8,63000,臺北市,6300300,大安區,龍雲里,1933390
8,63000,臺北市,6300300,大安區,錦安里,922250
8,63000,臺北市,6300300,大安區,正聲里,2663343
8,63000,臺北市,6300300,大安區,群賢里,2393708
8,63000,臺北市,6300300,大安區,光明里,1461151
8,63000,臺北市,6300300,大安區,永康里,1665100
8,63000,臺北市,6300300,大安區,虎嘯里,2194200
8,63000,臺北市,6300300,大安區,黎元里,1423541
8,63000,臺北市,6300300,大安區,芳和里,2221072
8,63000,臺北市,6300300,大安區,住安里,1904431
8,63000,臺北市,6300300,大安區,和安里,2753549
8,63000,臺北市,6300300,大安區,黎和里,1943167
8,63000,臺北市,6300300,大安區,德安里,3104268
8,63000,臺北市,6300300,大安區,仁慈里,2658568
8,63000,臺北市,6300300,大安區,光信里,2300791
8,63000,臺北市,6300300,大安區,龍安里,2609205
8,63000,臺北市,6300300,大安區,仁愛里,4415777
8,63000,臺北市,6300300,大安區,群英里,2611883
8,63000,臺北市,6300300,大安區,黎孝里,3137535
8,63000,臺北市,6300300,大安區,民炤里,4307709
8,63000,臺北市,6300300,大安區,大學里,3388903
8,63000,臺北市,6300400,中山區,松江里,1568001
8,63000,臺北市,6300400,中山區,大佳里,155419
8,63000,臺北市,6300400,中山區,正義里,6206
8,63000,臺北市,6300400,中山區,康樂里,--
8,63000,臺北市,6300400,中山區,大直里,7942
8,63000,臺北市,6300400,中山區,中山里,1104526
8,63000,臺北市,6300400,中山區,中庄里,23022
8,63000,臺北市,6300400,中山區,劍潭里,4921
8,63000,臺北市,6300400,中山區,恆安里,8967
8,63000,臺北市,6300400,中山區,正守里,6354
8,63000,臺北市,6300400,中山區,江寧里,1693695
8,63000,臺北市,6300400,中山區,永安里,--
8,63000,臺北市,6300400,中山區,中央里,1804106
8,63000,臺北市,6300400,中山區,朱馥里,930292
8,63000,臺北市,6300400,中山區,龍洲里,1887205
8,63000,臺北市,6300400,中山區,中原里,--
8,63000,臺北市,6300400,中山區,金泰里,--
8,63000,臺北市,6300400,中山區,北安里,--
8,63000,臺北市,6300400,中山區,新庄里,5451
8,63000,臺北市,6300400,中山區,成功里,5788
8,63000,臺北市,6300400,中山區,朱崙里,12581
8,63000,臺北市,6300400,中山區,晴光里,12253
8,63000,臺北市,6300400,中山區,中吉里,41325
8,63000,臺北市,6300400,中山區,新福里,1256479
8,63000,臺北市,6300400,中山區,聚葉里,2323409
8,63000,臺北市,6300400,中山區,聚盛里,2717905
8,63000,臺北市,6300400,中山區,民安里,1280869
8,63000,臺北市,6300400,中山區,埤頭里,724036
8,63000,臺北市,6300400,中山區,圓山里,2174080
8,63000,臺北市,6300400,中山區,新喜里,2320897
8,63000,臺北市,6300400,中山區,新生里,2978979
8,63000,臺北市,6300400,中山區,集英里,3776095
8,63000,臺北市,6300400,中山區,行政里,2728365
8,63000,臺北市,6300400,中山區,正得里,3020218
8,63000,臺北市,6300400,中山區,朱園里,3477692
8,63000,臺北市,6300400,中山區,興亞里,3639740
8,63000,臺北市,6300400,中山區,江山里,1373402
8,63000,臺北市,6300400,中山區,行孝里,1648637
8,63000,臺北市,6300400,中山區,力行里,2262566
8,63000,臺北市,6300400,中山區,復華里,2935214
8,63000,臺北市,6300400,中山區,行仁里,3241666
8,63000,臺北市,6300400,中山區,下埤里,3433252
8,63000,臺北市,6300500,中正區,建國里,363262
8,63000,臺北市,6300500,中正區,頂東里,--
8,63000,臺北市,6300500,中正區,河堤里,11321
8,63000,臺北市,6300500,中正區,螢雪里,1229
8,63000,臺北市,6300500,中正區,愛國里,--
8,63000,臺北市,6300500,中正區,南門里,576
8,63000,臺北市,6300500,中正區,廈安里,2700
