TOWNNAME,VILLNAME,VILLENG,COUNTYID,COUNTYCODE,TOWNID,TOWNCODE,NOTE,field_1,lon,lat,T_11_0,T_11_1,T_11_2,T_11_3,T_11_4,T_11_5,T_11_6,T_11_7,T_11_8,T_11_9,T_11_10,T_11_11,T_11_12,T_11_13,T_11_14,T_11_15,T_11_16,T_11_17,T_11_18,T_11_19,T_11_20,T_11_21,T_11_22,T_11_23,T_12_0,T_12_1,T_12_2,T_12_3,T_12_4,T_12_5,T_12_6,T_12_7,T_12_8,T_12_9,T_12_10,T_12_11,T_12_12,T_12_13,T_12_14,T_12_15,T_12_16,T_12_17,T_12_18,T_12_19,T_12_20,T_12_21,T_12_22,T_12_23,T_13_0,T_13_1,T_13_2,T_13_3,T_13_4,T_13_5,T_13_6,T_13_7,T_13_8,T_13_9,T_13_10,T_13_11,T_13_12,T_13_13,T_13_14,T_13_15,T_13_16,T_13_17,T_13_18,T_13_19,T_13_20,T_13_21,T_13_22,T_13_23,T_14_0,T_14_1,T_14_2,T_14_3,T_14_4,T_14_5,T_14_6,T_14_7,T_14_8,T_14_9,T_14_10,T_14_11,T_14_12,T_14_13,T_14_14,T_14_15,T_14_16,T_14_17,T_14_18,T_14_19,T_14_20,T_14_21,T_14_22,T_14_23,T_15_0,T_15_1,T_15_2,T_15_3,T_15_4,T_15_5,T_15_6,T_15_7,T_15_8,T_15_9,T_15_10,T_15_11,T_15_12,T_15_13,T_15_14,T_15_15,T_15_16,T_15_17,T_15_18,T_15_19,T_15_20,T_15_21,T_15_22,T_15_23
大安區,新龍里,Xinlong Vil.,A,"63000",A02,"63000030",,25.038582_121.53302,121.533019999999993,25.038582000000002,5.777422851562508,5.986082519531252,6.000101074218752,5.855700439453128,6.215593017578140,6.557193359375006,6.283941406250010,6.361741699218760,6.929128173828128,8.993123535156265,11.469926513671890,12.184056152343755,13.294584716796884,12.615058349609381,12.062505859375015,10.454808105468755,8.860665039062514,7.091846679687502,6.196154541015640,6.178068603515634,6.054075683593758,5.776420654296886,5.930115722656256,5.772374023437510,8.438412841796897,8.382958740234391,8.492602294921884,8.853188232421894,8.466885742187504,8.562742675781248,8.624020507812476,8.716308349609394,10.294983886718768,12.617572998046878,15.282609619140629,16.610892578125096,17.143543945312434,16.427453857421906,15.538008789062509,13.466102050781259,11.428420166015631,9.958971923828134,9.280298828125016,9.252865966796890,8.887572998046894,8.796083740234392,8.791531738281266,8.528677734375018,8.506722167968764,8.317468017578136,8.064031738281260,7.987710937500008,8.082947753906252,7.957183593750018,7.895818847656264,7.629976562500016,11.067442382812519,15.733535888671909,18.306468750000096,20.164162841797001,20.703786865234346,19.894742675781256,18.539546142578239,16.525916748046900,13.777067626953134,10.647900146484377,9.486860107421892,9.452834228515636,9.394505371093755,9.271675537109340,8.858782714843770,8.754909423828140,7.418124023437528,7.091133789062514,6.240284423828150,5.977531494140642,5.785441650390642,5.317657226562518,5.078415283203140,4.893179687500012,11.632865966796876,17.057429443359410,20.060459228515541,22.312579589843800,22.914945312500045,22.949623046875004,21.700061279297000,19.517680908203261,15.944378417968752,11.608735107421888,10.134155029296878,9.832764648437513,9.570920166015627,8.797771972656259,8.431789306640630,7.760258544921880,7.850606445312518,7.640322021484392,7.266177734375000,7.158338623046890,6.912841552734394,6.593160156250018,6.386490234375016,6.499823974609384,11.592652343750013,15.833193847656243,18.943936279296860,20.970041748046928,21.315829101562564,21.109860839843719,19.808934570312609,17.615650390624982,14.276214355468753,10.332557128906259,9.298981689453145,9.211034912109383,8.897090820312506,8.593096679687504,8.255729736328126,8.032503417968767
大安區,義村里,Yicun Vil.,A,"63000",A02,"63000030",,25.038582_121.53302,121.533019999999993,25.038582000000002,5.777422851562508,5.986082519531252,6.000101074218752,5.855700439453128,6.215593017578140,6.557193359375006,6.283941406250010,6.361741699218760,6.929128173828128,8.993123535156265,11.469926513671890,12.184056152343755,13.294584716796884,12.615058349609381,12.062505859375015,10.454808105468755,8.860665039062514,7.091846679687502,6.196154541015640,6.178068603515634,6.054075683593758,5.776420654296886,5.930115722656256,5.772374023437510,8.438412841796897,8.382958740234391,8.492602294921884,8.853188232421894,8.466885742187504,8.562742675781248,8.624020507812476,8.716308349609394,10.294983886718768,12.617572998046878,15.282609619140629,16.610892578125096,17.143543945312434,16.427453857421906,15.538008789062509,13.466102050781259,11.428420166015631,9.958971923828134,9.280298828125016,9.252865966796890,8.887572998046894,8.796083740234392,8.791531738281266,8.528677734375018,8.506722167968764,8.317468017578136,8.064031738281260,7.987710937500008,8.082947753906252,7.957183593750018,7.895818847656264,7.629976562500016,11.067442382812519,15.733535888671909,18.306468750000096,20.164162841797001,20.703786865234346,19.894742675781256,18.539546142578239,16.525916748046900,13.777067626953134,10.647900146484377,9.486860107421892,9.452834228515636,9.394505371093755,9.271675537109340,8.858782714843770,8.754909423828140,7.418124023437528,7.091133789062514,6.240284423828150,5.977531494140642,5.785441650390642,5.317657226562518,5.078415283203140,4.893179687500012,11.632865966796876,17.057429443359410,20.060459228515541,22.312579589843800,22.914945312500045,22.949623046875004,21.700061279297000,19.517680908203261,15.944378417968752,11.608735107421888,10.134155029296878,9.832764648437513,9.570920166015627,8.797771972656259,8.431789306640630,7.760258544921880,7.850606445312518,7.640322021484392,7.266177734375000,7.158338623046890,6.912841552734394,6.593160156250018,6.386490234375016,6.499823974609384,11.592652343750013,15.833193847656243,18.943936279296860,20.970041748046928,21.315829101562564,21.109860839843719,19.808934570312609,17.615650390624982,14.276214355468753,10.332557128906259,9.298981689453145,9.211034912109383,8.897090820312506,8.593096679687504,8.255729736328126,8.032503417968767
中山區,朱園里,Zhuyuan Vil.,A,"63000",A10,"63000040",,25.057198_121.53296,121.532960000000003,25.057198000000000,5.961419433593756,6.111919921875002,6.128494140625022,6.241072753906266,6.406700195312512,6.643230957031256,6.274771484375012,6.228897460937516,7.196084960937508,9.533982910156254,12.126392578125005,12.960542968750012,13.819393798828164,13.410619873046883,12.353062500000011,10.737693847656251,8.997081054687515,7.406543945312518,6.350563720703138,6.499305175781254,6.450258544921876,6.218759521484378,6.293335693359378,5.979267333984384,8.825048583984387,8.560966552734389,8.639032958984380,8.604430908203128,8.772748779296892,8.890309814453138,8.730003417968769,8.857054199218764,10.612717041015635,13.309931396484386,15.549076416015602,16.902762695312639,17.380862060546900,17.077594238281375,16.104861816406249,13.957370361328126,11.931185058593767,10.284017089843752,9.507886718750012,9.453902343750013,9.029617675781266,8.961718505859389,9.005621093750010,8.793409179687512,8.620143798828137,8.405271972656260,8.122577880859383,8.198020019531247,8.084208740234377,8.015015625000018,7.974776367187510,7.698139404296888,11.631481689453132,15.966111083984369,18.899245849609407,20.650846191406291,21.076192871093809,20.365667968750081,19.144347167968800,17.000824951171786,14.221299560546862,10.867370361328144,9.611713623046889,9.676559814453130,9.558177246093752,9.251537841796877,8.965099853515644,8.818307861328138,7.345796875000000,6.996051757812528,6.386052001953140,6.344980224609388,5.841797851562518,5.300715087890638,4.885136474609380,4.680955566406254,11.255339111328134,16.951358886718779,19.981395507812639,22.140199218750020,23.093480468750077,23.040803466796891,21.891161132812503,19.631696777343738,15.929942382812502,11.815468505859384,10.149086669921878,10.058013671875008,9.511398681640630,8.749979003906258,7.981937011718760,7.778123535156254,7.690207275390642,7.382231201171894,7.218349853515644,7.042764892578152,6.708660644531252,6.269926513671878,6.069287841796896,6.267842773437512,11.250818847656266,15.967414550781266,19.068338867187517,21.022319580078182,21.543751464843840,21.239908691406264,19.979095703125129,17.698537353515611,14.321309570312502,10.525840820312506,9.342183593750018,9.444981445312504,9.003802246093754,8.531542724609380,8.270256103515626,7.802472167968774
中山區,朱崙里,Zhulun Vil.,A,"63000",A10,"63000040",,25.038582_121.53302,121.533019999999993,25.038582000000002,5.777422851562508,5.986082519531252,6.000101074218752,5.855700439453128,6.215593017578140,6.557193359375006,6.283941406250010,6.361741699218760,6.929128173828128,8.993123535156265,11.469926513671890,12.184056152343755,13.294584716796884,12.615058349609381,12.062505859375015,10.454808105468755,8.860665039062514,7.091846679687502,6.196154541015640,6.178068603515634,6.054075683593758,5.776420654296886,5.930115722656256,5.772374023437510,8.438412841796897,8.382958740234391,8.492602294921884,8.853188232421894,8.466885742187504,8.562742675781248,8.624020507812476,8.716308349609394,10.294983886718768,12.617572998046878,15.282609619140629,16.610892578125096,17.143543945312434,16.427453857421906,15.538008789062509,13.466102050781259,11.428420166015631,9.958971923828134,9.280298828125016,9.252865966796890,8.887572998046894,8.796083740234392,8.791531738281266,8.528677734375018,8.506722167968764,8.317468017578136,8.064031738281260,7.987710937500008,8.082947753906252,7.957183593750018,7.895818847656264,7.629976562500016,11.067442382812519,15.733535888671909,18.306468750000096,20.164162841797001,20.703786865234346,19.894742675781256,18.539546142578239,16.525916748046900,13.777067626953134,10.647900146484377,9.486860107421892,9.452834228515636,9.394505371093755,9.271675537109340,8.858782714843770,8.754909423828140,7.418124023437528,7.091133789062514,6.240284423828150,5.977531494140642,5.785441650390642,5.317657226562518,5.078415283203140,4.893179687500012,11.632865966796876,17.057429443359410,20.060459228515541,22.312579589843800,22.914945312500045,22.949623046875004,21.700061279297000,19.517680908203261,15.944378417968752,11.608735107421888,10.134155029296878,9.832764648437513,9.570920166015627,8.797771972656259,8.431789306640630,7.760258544921880,7.850606445312518,7.640322021484392,7.266177734375000,7.158338623046890,6.912841552734394,6.593160156250018,6.386490234375016,6.499823974609384,11.592652343750013,15.833193847656243,18.943936279296860,20.970041748046928,21.315829101562564,21.109860839843719,19.808934570312609,17.615650390624982,14.276214355468753,10.332557128906259,9.298981689453145,9.211034912109383,8.897090820312506,8.593096679687504,8.255729736328126,8.032503417968767
中正區,文北里,Wenbei Vil.,A,"63000",A03,"63000050",,25.038582_121.53302,121.533019999999993,25.038582000000002,5.777422851562508,5.986082519531252,6.000101074218752,5.855700439453128,6.215593017578140,6.557193359375006,6.283941406250010,6.361741699218760,6.929128173828128,8.993123535156265,11.469926513671890,12.184056152343755,13.294584716796884,12.615058349609381,12.062505859375015,10.454808105468755,8.860665039062514,7.091846679687502,6.196154541015640,6.178068603515634,6.054075683593758,5.776420654296886,5.930115722656256,5.772374023437510,8.438412841796897,8.382958740234391,8.492602294921884,8.853188232421894,8.466885742187504,8.562742675781248,8.624020507812476,8.716308349609394,10.294983886718768,12.617572998046878,15.282609619140629,16.610892578125096,17.143543945312434,16.427453857421906,15.538008789062509,13.466102050781259,11.428420166015631,9.958971923828134,9.280298828125016,9.252865966796890,8.887572998046894,8.796083740234392,8.791531738281266,8.528677734375018,8.506722167968764,8.317468017578136,8.064031738281260,7.987710937500008,8.082947753906252,7.957183593750018,7.895818847656264,7.629976562500016,11.067442382812519,15.733535888671909,18.306468750000096,20.164162841797001,20.703786865234346,19.894742675781256,18.539546142578239,16.525916748046900,13.777067626953134,10.647900146484377,9.486860107421892,9.452834228515636,9.394505371093755,9.271675537109340,8.858782714843770,8.754909423828140,7.418124023437528,7.091133789062514,6.240284423828150,5.977531494140642,5.785441650390642,5.317657226562518,5.078415283203140,4.893179687500012,11.632865966796876,17.057429443359410,20.060459228515541,22.312579589843800,22.914945312500045,22.949623046875004,21.700061279297000,19.517680908203261,15.944378417968752,11.608735107421888,10.134155029296878,9.832764648437513,9.570920166015627,8.797771972656259,8.431789306640630,7.760258544921880,7.850606445312518,7.640322021484392,7.266177734375000,7.158338623046890,6.912841552734394,6.593160156250018,6.386490234375016,6.499823974609384,11.592652343750013,15.833193847656243,18.943936279296860,20.970041748046928,21.315829101562564,21.109860839843719,19.808934570312609,17.615650390624982,14.276214355468753,10.332557128906259,9.298981689453145,9.211034912109383,8.897090820312506,8.593096679687504,8.255729736328126,8.032503417968767
松山區,福成里,Fucheng Vil.,A,"63000",A01,"63000010",,25.038643_121.55359,121.553590000000000,25.038643000000000,5.715804199218760,5.786611083984382,5.849866699218756,5.707393554687510,5.848608154296880,6.070330566406270,5.962388427734384,6.072988037109394,6.749589599609384,8.908134521484392,11.094402832031252,11.961829589843759,12.921952880859390,12.432598632812509,11.815630859375020,9.868960937500017,8.682680419921892,6.957331298828130,6.071159423828142,6.059697021484386,5.977198242187510,5.681628173828138,5.773113769531262,5.699922851562512,8.286906494140627,8.170919433593735,8.265785888671889,8.496574462890631,7.912803710937516,8.112338623046886,8.167475341796886,8.347021240234380,10.017576660156251,12.809118408203092,15.432333496093740,16.598778320312594,17.251383300781264,16.434271484375039,15.350879882812514,13.697120117187504,11.409317382812503,10.019217285156255,9.252873291015639,9.117546142578142,8.757265380859376,8.743631347656271,8.721622070312518,8.505612548828147,8.213698730468710,7.964965576171894,7.836064208984390,7.874563964843762,7.831814941406258,7.603692382812506,7.464134277343756,7.380945800781254,11.238648437500002,15.604024414062502,18.396743408203239,19.903025146484467,20.771476074218771,20.091174560546921,18.405510498046979,16.592022460937375,13.820988525390630,10.563844970703126,9.560649169921888,9.268025878906265,9.274173339843756,9.040678466796878,8.728854736328126,8.522601074218770,7.176332763671882,6.750149902343754,6.156420654296884,5.655652832031256,5.509268554687506,5.006781982421884,4.646391357421884,4.614512695312508,11.763345703125008,17.310697265625045,20.362287841796903,22.464206787109443,23.157787109375096,22.955587402343767,21.701509033203266,19.379800048828251,15.628360351562506,11.477631591796888,9.928819335937504,9.466296142578145,9.265604003906258,8.565369628906264,8.126752685546888,7.655514892578134,7.623129882812502,7.431435302734394,7.152179931640628,7.158028564453142,6.937752441406270,6.562548583984394,6.301604980468768,6.139452880859388,11.615170654296890,16.035926757812504,19.033774658203143,21.032893310546950,21.277408691406318,20.972103271484308,19.652844482421976,17.257791503906194,14.052485107421880,10.224698242187509,9.087532714843769,9.077327636718760,8.821150878906256,8.363974365234382,8.028449462890631,7.679953369140626
中正區,網溪里,Wangxi Vil.,A,"63000",A03,"63000050",,25.019875_121.51254,121.512540000000001,25.019874999999999,6.154864257812520,6.334433349609388,6.236282714843766,6.222331298828138,6.497063964843756,6.534268554687504,6.743765625000018,7.032666992187506,7.301904052734386,9.281301025390627,11.484072021484389,12.168788818359380,13.325296386718758,13.416631835937510,12.209217285156264,10.706687988281251,9.063888916015635,7.220067382812506,6.437154296875008,6.314155029296878,6.174198974609380,6.061297363281254,5.934830078125004,6.097770751953126,8.505474609375012,8.733425048828130,8.751407226562502,8.989369873046888,9.082789062500011,9.227386230468753,9.170450195312505,9.141601318359378,10.972729980468747,12.755381347656211,15.208238281250004,16.443526855468821,16.487862792968798,16.066144775390622,14.914155029296875,13.130345214843766,11.671664794921876,10.081751464843755,9.200578369140640,9.254795898437511,8.933113769531264,8.837869628906263,8.671066650390642,8.639399169921886,8.567214111328136,8.616344970703128,8.463750732421873,8.224638427734394,8.134670166015640,7.948862060546888,8.080718750000008,7.823525146484384,11.399787353515634,16.135321289062514,18.411047607421992,20.302332763671771,20.713054687499898,20.150080810546910,18.709564453125129,16.725210937499874,14.041176513671878,10.880534423828143,9.974899658203130,9.901870605468716,9.929926513671886,9.603895019531262,8.973270019531268,8.848158935546886,7.661210693359384,7.285851806640630,6.978747314453144,6.791202148437516,6.431696044921894,6.303506835937508,5.907441162109382,5.308578857421884,11.740677246093766,17.103272949218809,20.153960205078132,22.114626708984400,22.951203857421930,23.068126464843768,21.896667724609333,19.837760253906271,16.391926025390529,11.821561035156259,10.421031250000018,10.106155761718757,9.586076904296840,9.155163330078144,8.702389892578140,8.084980224609390,8.079977783203137,7.925359863281260,7.420997070312514,7.384163574218758,7.207151855468752,6.828227294921876,6.939318603515640,6.785370849609388,11.888465332031254,16.029178466796875,18.937744873046817,21.038178955078184,21.366966796875065,21.280996337890642,19.925919433593865,17.728434814453113,14.396893066406252,10.613428710937503,9.371939453125018,9.238505615234388,8.994235595703133,8.825391601562503,8.461250244140585,8.023175048828119
中山區,中吉里,Zhongji Vil.,A,"63000",A10,"63000040",,25.057198_121.53296,121.532960000000003,25.057198000000000,5.961419433593756,6.111919921875002,6.128494140625022,6.241072753906266,6.406700195312512,6.643230957031256,6.274771484375012,6.228897460937516,7.196084960937508,9.533982910156254,12.126392578125005,12.960542968750012,13.819393798828164,13.410619873046883,12.353062500000011,10.737693847656251,8.997081054687515,7.406543945312518,6.350563720703138,6.499305175781254,6.450258544921876,6.218759521484378,6.293335693359378,5.979267333984384,8.825048583984387,8.560966552734389,8.639032958984380,8.604430908203128,8.772748779296892,8.890309814453138,8.730003417968769,8.857054199218764,10.612717041015635,13.309931396484386,15.549076416015602,16.902762695312639,17.380862060546900,17.077594238281375,16.104861816406249,13.957370361328126,11.931185058593767,10.284017089843752,9.507886718750012,9.453902343750013,9.029617675781266,8.961718505859389,9.005621093750010,8.793409179687512,8.620143798828137,8.405271972656260,8.122577880859383,8.198020019531247,8.084208740234377,8.015015625000018,7.974776367187510,7.698139404296888,11.631481689453132,15.966111083984369,18.899245849609407,20.650846191406291,21.076192871093809,20.365667968750081,19.144347167968800,17.000824951171786,14.221299560546862,10.867370361328144,9.611713623046889,9.676559814453130,9.558177246093752,9.251537841796877,8.965099853515644,8.818307861328138,7.345796875000000,6.996051757812528,6.386052001953140,6.344980224609388,5.841797851562518,5.300715087890638,4.885136474609380,4.680955566406254,11.255339111328134,16.951358886718779,19.981395507812639,22.140199218750020,23.093480468750077,23.040803466796891,21.891161132812503,19.631696777343738,15.929942382812502,11.815468505859384,10.149086669921878,10.058013671875008,9.511398681640630,8.749979003906258,7.981937011718760,7.778123535156254,7.690207275390642,7.382231201171894,7.218349853515644,7.042764892578152,6.708660644531252,6.269926513671878,6.069287841796896,6.267842773437512,11.250818847656266,15.967414550781266,19.068338867187517,21.022319580078182,21.543751464843840,21.239908691406264,19.979095703125129,17.698537353515611,14.321309570312502,10.525840820312506,9.342183593750018,9.444981445312504,9.003802246093754,8.531542724609380,8.270256103515626,7.802472167968774
大安區,正聲里,Zhengsheng Vil.,A,"63000",A02,"63000030",,25.038643_121.55359,121.553590000000000,25.038643000000000,5.715804199218760,5.786611083984382,5.849866699218756,5.707393554687510,5.848608154296880,6.070330566406270,5.962388427734384,6.072988037109394,6.749589599609384,8.908134521484392,11.094402832031252,11.961829589843759,12.921952880859390,12.432598632812509,11.815630859375020,9.868960937500017,8.682680419921892,6.957331298828130,6.071159423828142,6.059697021484386,5.977198242187510,5.681628173828138,5.773113769531262,5.699922851562512,8.286906494140627,8.170919433593735,8.265785888671889,8.496574462890631,7.912803710937516,8.112338623046886,8.167475341796886,8.347021240234380,10.017576660156251,12.809118408203092,15.432333496093740,16.598778320312594,17.251383300781264,16.434271484375039,15.350879882812514,13.697120117187504,11.409317382812503,10.019217285156255,9.252873291015639,9.117546142578142,8.757265380859376,8.743631347656271,8.721622070312518,8.505612548828147,8.213698730468710,7.964965576171894,7.836064208984390,7.874563964843762,7.831814941406258,7.603692382812506,7.464134277343756,7.380945800781254,11.238648437500002,15.604024414062502,18.396743408203239,19.903025146484467,20.771476074218771,20.091174560546921,18.405510498046979,16.592022460937375,13.820988525390630,10.563844970703126,9.560649169921888,9.268025878906265,9.274173339843756,9.040678466796878,8.728854736328126,8.522601074218770,7.176332763671882,6.750149902343754,6.156420654296884,5.655652832031256,5.509268554687506,5.006781982421884,4.646391357421884,4.614512695312508,11.763345703125008,17.310697265625045,20.362287841796903,22.464206787109443,23.157787109375096,22.955587402343767,21.701509033203266,19.379800048828251,15.628360351562506,11.477631591796888,9.928819335937504,9.466296142578145,9.265604003906258,8.565369628906264,8.126752685546888,7.655514892578134,7.623129882812502,7.431435302734394,7.152179931640628,7.158028564453142,6.937752441406270,6.562548583984394,6.301604980468768,6.139452880859388,11.615170654296890,16.035926757812504,19.033774658203143,21.032893310546950,21.277408691406318,20.972103271484308,19.652844482421976,17.257791503906194,14.052485107421880,10.224698242187509,9.087532714843769,9.077327636718760,8.821150878906256,8.363974365234382,8.028449462890631,7.679953369140626
信義區,四育里,Siyu Vil.,A,"63000",A17,"63000020",,25.038704_121.57416,121.574160000000006,25.038703999999999,5.695368408203130,5.601579345703128,5.692965576171880,5.519281982421880,5.655070556640626,5.618442138671876,5.843581298828140,5.785560058593764,6.687962402343754,8.813041748046889,10.839550537109329,11.666513427734383,12.524490722656266,12.082023681640631,10.904273437500009,9.757114013671886,8.522166503906265,6.653521484375004,5.888328613281262,5.801541503906258,5.734535888671884,5.678119873046882,5.589198974609384,5.637187255859382,8.338455566406266,8.253234619140638,8.218508056640639,8.040072998046886,7.852861083984390,7.891429199218762,7.936438964843760,8.097786621093753,10.062945312500020,12.615914062500019,15.238703369140634,16.279363037109409,17.080685058593790,15.856981445312501,14.784659179687518,13.534372314453112,11.218721679687500,9.882741455078127,9.050323242187511,8.852188476562516,8.628102783203143,8.592668212890640,8.636028808593762,8.588786376953138,8.139893554687518,7.857740234375016,7.865387939453138,7.847563232421884,7.680953125000006,7.473676513671880,7.337259277343758,7.233733886718758,11.525109619140640,15.601016113281274,18.543785644531280,20.068104492187512,20.673882080078194,19.985412841796968,18.367195068359379,16.333739990234282,13.772338623046894,10.385357421875018,9.453871826171881,8.992958740234384,8.849694580078133,8.693630126953130,8.490226806640626,8.286225830078099,6.897912353515636,6.468636230468764,6.182784179687516,5.525412353515642,5.370414794921892,5.080518554687516,4.664499267578144,4.776928466796892,11.996009277343759,17.388645263671943,20.391483398437568,22.335735107421971,23.242879882812520,22.891393066406323,21.559063964843773,19.162105957031251,15.447023681640626,11.213101562500009,9.451646484375004,9.013832275390619,8.599056152343765,8.250118164062515,7.873719238281262,7.397414306640636,7.299856933593752,7.259776367187518,7.114968017578144,7.217731689453138,6.856175292968766,6.453014892578142,6.149538330078142,5.952546142578142,11.614465087890636,16.152352539062523,18.917523437500066,20.797223144531351,20.860233398437568,20.423065429687632,19.003706298828192,16.943871826171836,13.583438476562506,9.968865722656256,8.766044677734392,8.672319091796886,8.371287597656258,8.057416748046881,7.725715087890628,7.322996582031252
大安區,大學里,Daxue Vil.,A,"63000",A02,"63000030",,25.019943_121.53311,121.533109999999994,25.019943000000001,5.961580566406250,6.059285644531268,6.034217041015636,5.863541503906262,6.263123535156262,6.467408203125006,6.488257812500004,6.419709228515626,7.083123535156266,9.029581054687508,11.384762939453140,12.072327636718756,13.108776611328135,12.992218994140645,12.297143310546886,10.444889892578130,9.019983886718761,7.190234375000014,6.357013916015632,6.158599609375008,5.951308349609386,5.827930664062508,5.861644042968758,5.990508789062502,8.299069580078147,8.572508300781260,8.465618652343759,8.800553955078081,8.689889892578144,8.683179687500019,8.943932861328136,8.898383544921884,10.477106689453136,12.516702636718753,15.562008300781249,16.578542724609466,16.856225830078234,15.960704101562497,14.985794433593725,13.262034667968765,11.611614746093752,10.085577148437505,9.218237060546890,9.240340332031259,9.067680419921889,8.896666015625014,8.743112548828138,8.608965820312514,8.513665527343761,8.413934082031256,8.131789306640632,7.970538085937504,7.994128173828144,7.677334960937520,7.778501953125014,7.690948242187512,11.497735351562511,16.057535644531253,18.505522705078253,20.148791748047000,20.408329101562607,20.036258789062529,18.406759277343845,16.633799804687371,13.869948486328131,10.787444824218769,9.895634521484380,9.600164550781257,9.571186279296894,9.525286621093764,8.927562011718768,8.720051025390640,7.678255371093762,7.281888183593758,6.513743652343762,5.938896240234392,5.757120117187518,5.258691162109392,4.809394287109390,4.711973632812508,11.694576416015623,17.363236328125076,20.153602539062504,22.340680175781312,23.069403320312578,23.104354492187529,21.759808593750140,19.501150146484509,16.118865722656118,11.576569580078138,10.192598388671854,9.868483642578136,9.572460693359377,8.852770751953130,8.654937500000020,7.835369873046880,7.813626464843770,7.688022216796892,7.216686767578126,7.207826904296892,6.981674560546890,6.640408691406264,6.634283203125010,6.286154541015632,11.776995605468761,16.182640625000026,19.181229492187537,21.129106689453209,21.570915771484479,21.124732910156251,19.869748779297002,17.670524658203121,14.316703857421876,10.411683105468756,9.321557373046891,9.221054443359384,8.907057861328132,8.595660156250004,8.219089111328126,7.717918457031256
松山區,精忠里,Jingzhong Vil.,A,"63000",A01,"63000010",,25.057274_121.55353,121.553529999999995,25.057274000000000,5.899201416015632,6.027049316406252,6.022270263671876,5.971529296875000,5.974677734375008,6.219731201171890,6.068739746093780,5.982933105468750,6.970086425781256,9.266741699218761,11.783945068359383,12.556640380859394,13.095857910156262,12.830935302734330,11.931225341796893,10.223842529296885,8.951570800781262,7.176282714843750,6.273365234375014,6.187433837890636,6.075231689453134,6.054534667968758,5.994487060546882,5.816706298828136,8.688312744140640,8.495248779296888,8.516425537109384,8.485140136718758,8.406193603515630,8.639705078124956,8.529774658203094,8.721487792968768,10.444424804687516,13.182260498046888,15.766531005859372,16.598940673828217,17.385003906250031,16.771340576171962,15.484000000000009,13.880577148437499,11.674262695312487,10.209225830078127,9.404489501953138,9.236255859375014,8.872292236328144,8.742579101562516,8.787321533203141,8.659217285156267,8.464738525390640,8.177641357421891,8.031048339843762,8.209958251953131,8.038101562500007,7.835837158203126,7.760265136718764,7.676818603515644,11.677978271484388,15.763136718749951,18.884555908203158,20.420134521484385,20.948646484375043,20.407389160156342,18.973178955078158,16.926302246093666,14.110751708984376,10.759825195312519,9.661595214843761,9.522331298828131,9.486064208984375,9.184521972656247,8.997959960937516,8.841308349609388,7.093285888671880,6.896210693359376,6.466296142578144,6.179261230468768,5.685596679687502,5.252905029296880,4.774371093750008,4.668936523437506,11.643906005859384,17.095035644531279,20.018147216797004,21.984231201171884,23.063198486328204,22.966939941406267,21.797132324218669,19.407276855468879,15.632183593750009,11.599714111328137,9.919406494140633,9.659245361328139,9.328816894531258,8.509998535156264,8.025141357421886,7.674588378906258,7.655953125000020,7.377715820312518,7.227913574218770,7.129816650390640,6.845674804687516,6.490162109375018,6.309150146484390,6.246756347656262,11.535856689453141,16.207777343750028,19.132206054687529,20.937398925781302,21.205097900390680,20.835946289062623,19.702975097656356,17.386589111328082,13.954122070312508,10.308927978515634,9.131680664062520,9.230337890625009,8.810021728515633,8.271220458984384,8.091714843750005,7.732475341796876
